,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
28,Okinawa Marines,0.00,0.00,"9,84,854.05",0.00,0.00,"57,34,765.70",March,2023,,
29,Okinawa Navy,0.00,0.00,"40,278.10",0.00,0.00,"1,72,245.00",March,2023,,
30,Iwakuni Marines,0.00,0.00,"2,08,263.75",0.00,0.00,"9,10,162.00",March,2023,,
31,Sasebo Navy,0.00,0.00,"1,42,863.35",0.00,0.00,"9,71,138.80",March,2023,,
32,Yokosuka Navy,0.00,0.00,"6,11,409.20",0.00,0.00,"26,77,519.90",March,2023,,
33,Singapore Navy,0.00,0.00,"7,036.00",0.00,0.00,"25,694.00",March,2023,,
34,Total Gaming Revenue,"17,57,983.55","18,41,802.55","23,48,897.00","84,15,403.50","1,10,38,942.75","1,21,84,109.00",March,2023,,
35,Kaiserslautern,"1,51,502.90",0.00,0.00,"10,39,280.00",0.00,0.00,January,2022,,
36,Grafenwoehr,"1,07,458.60",0.00,0.00,"4,10,878.15",0.00,0.00,January,2022,,
37,Wiesbaden,"2,23,142.90",0.00,0.00,"9,34,537.00",0.00,0.00,January,2022,,
38,Vicenza,"92,415.15",0.00,0.00,"3,00,943.45",0.00,0.00,January,2022,45.545479,11.535421
39,Livorno,"31,869.85",0.00,0.00,"59,364.85",0.00,0.00,January,2022,43.548473,10.310567
40,Stuttgart,"2,05,559.15",0.00,0.00,"8,55,246.30",0.00,0.00,January,2022,48.775418,9.181759
41,Baumholder,"13,562.50",0.00,0.00,"1,18,363.60",0.00,0.00,January,2022,49.613889,7.333333
42,Ansbach,"39,956.35",0.00,0.00,"1,26,986.60",0.00,0.00,January,2022,49.300425,10.571936
43,Schinnen,"5,226.50",0.00,0.00,"22,841.60",0.00,0.00,January,2022,50.94028,5.87832
44,AFRC Edelweiss Lodge,"-3,106.55",0.00,0.00,"64,737.20",0.00,0.00,January,2022,,
45,Hohenfels,"44,633.45",0.00,0.00,"2,52,470.45",0.00,0.00,January,2022,49.203278,11.849022
46,Naples Navy,"-1,415.80",0.00,0.00,"2,30,707.40",0.00,0.00,January,2022,,
47,Sigonella Navy,"57,173.00",0.00,0.00,"1,56,629.20",0.00,0.00,January,2022,,
48,Rota Navy,"55,342.15",0.00,0.00,"2,71,908.60",0.00,0.00,January,2022,,
49,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,January,2022,,
50,AFRC Dragon Hill Lodge,0.00,"2,94,417.90",0.00,0.00,"11,07,734.40",0.00,January,2022,,
51,Seoul,0.00,"6,828.00",0.00,0.00,"33,110.00",0.00,January,2022,37.566535,126.97797
52,Casey & Hovey,0.00,"1,88,682.65",0.00,0.00,"8,93,865.05",0.00,January,2022,,
53,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,January,2022,,
54,Camp Humphreys,0.00,"6,04,863.20",0.00,0.00,"33,54,148.70",0.00,January,2022,,
55,Daegu,0.00,"1,97,087.45",0.00,0.00,"9,61,276.95",0.00,January,2022,,
56,Chinhae Navy,0.00,"34,467.70",0.00,0.00,"1,70,516.15",0.00,January,2022,,
57,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,January,2022,,
58,Camp Zama,0.00,0.00,"1,03,905.45",0.00,0.00,"3,41,058.45",January,2022,,
59,Fuji Marines,0.00,0.00,"1,028.00",0.00,0.00,"10,906.00",January,2022,,
60,Sanno Navy,0.00,0.00,"62,810.25",0.00,0.00,"3,49,981.20",January,2022,,
61,Atsugi Navy,0.00,0.00,"81,399.15",0.00,0.00,"3,46,405.05",January,2022,,
62,Okinawa,0.00,0.00,"8,389.00",0.00,0.00,"24,563.15",January,2022,26.212401,127.68093
63,Okinawa Marines,0.00,0.00,"7,00,467.00",0.00,0.00,"34,89,363.00",January,2022,,
64,Okinawa Navy,0.00,0.00,"8,661.30",0.00,0.00,"1,31,637.85",January,2022,,
65,Iwakuni Marines,0.00,0.00,"1,06,348.75",0.00,0.00,"5,98,866.65",January,2022,,
66,Sasebo Navy,0.00,0.00,"1,07,788.35",0.00,0.00,"8,02,691.80",January,2022,,
67,Yokosuka Navy,0.00,0.00,"3,89,801.00",0.00,0.00,"17,42,232.45",January,2022,,
68,Singapore Navy,0.00,0.00,0.00,0.00,0.00,0.00,January,2022,,
69,Total Gaming Revenue,"10,23,320.15","13,26,346.90","15,70,598.25","48,44,894.40","65,20,651.25","78,37,705.60",January,2022,,
70,Kaiserslautern,"1,96,939.85",0.00,0.00,"11,14,232.45",0.00,0.00,January,2023,,
71,Grafenwoehr,"1,50,971.25",0.00,0.00,"5,59,785.05",0.00,0.00,January,2023,,
72,Wiesbaden,"2,09,765.65",0.00,0.00,"8,75,626.40",0.00,0.00,January,2023,,
